review_item_id,decision,reviewer,reviewed_at,reviewer_comment
REV-A384BF1B33,approved,Mingzhicheng,2026-07-18,"All expected firm-level workbooks were processed. Retain source hashes and exact-period validation."
REV-E86CDF0785,approved_with_conditions,Mingzhicheng,2026-07-18,"Preserve the immutable 2021-H1 raw filename and use the reporting period and source hash as internal identity."
REV-7FEC48E030,approved_with_conditions,Mingzhicheng,2026-07-18,"Use row 9 as the 2021-H1 Notes taxonomy header; apply this rule only to the Notes product-reference table."
REV-8B2996CFDD,approved_with_conditions,Mingzhicheng,2026-07-18,"Preserve the immutable 2021-H2 raw filename and use the reporting period and source hash as internal identity."
REV-A490218956,approved_with_conditions,Mingzhicheng,2026-07-18,"Use row 9 as the 2021-H2 Notes taxonomy header; apply this rule only to the Notes product-reference table."
REV-C3A87947AA,approved_with_conditions,Mingzhicheng,2026-07-18,"Preserve the immutable 2022-H1 raw filename and use the reporting period and source hash as internal identity."
REV-CE02A4F68C,approved_with_conditions,Mingzhicheng,2026-07-18,"Use row 9 as the 2022-H1 Notes taxonomy header; apply this rule only to the Notes product-reference table."
REV-A51F5C5CEF,approved_with_conditions,Mingzhicheng,2026-07-18,"Preserve the immutable 2022-H2 raw filename and use the reporting period and source hash as internal identity."
REV-65844D44C3,approved_with_conditions,Mingzhicheng,2026-07-18,"Use row 9 as the 2022-H2 Notes taxonomy header; apply this rule only to the Notes product-reference table."
REV-E0FB2DF0B3,approved_with_conditions,Mingzhicheng,2026-07-18,"Preserve the immutable 2023-H1 raw filename and use the reporting period and source hash as internal identity."
REV-0BB8894C13,approved_with_conditions,Mingzhicheng,2026-07-18,"Use the last substantive value row rather than Excel's formatted maximum row; retain the formatted-range warning and do not modify the workbook."
REV-CC418B08B4,approved_with_conditions,Mingzhicheng,2026-07-18,"Use row 9 as the 2023-H1 Notes taxonomy header; apply this rule only to the Notes product-reference table."
REV-140CBA92AC,approved_with_conditions,Mingzhicheng,2026-07-18,"Preserve the immutable 2023-H2 raw filename and use the reporting period and source hash as internal identity."
REV-F1ED3817F3,approved_with_conditions,Mingzhicheng,2026-07-18,"Reviewed 2023-H2 Context (Intermediation). 'Include' is a misplaced header in I2 that logically belongs in I1. Column I sums E:H. Preserve the physical source layout and lineage; apply a reviewed header override during extraction; treat I2 as misplaced header text; validate I3:I80 formulas against E:H; derive row 2 separately; do not treat Include as a product group or canonical product metric."
REV-7D1451CAB0,approved_with_conditions,Mingzhicheng,2026-07-18,"Preserve the immutable 2024-H1 raw filename and use the reporting period and source hash as internal identity."
REV-6853FA8892,approved_with_conditions,Mingzhicheng,2026-07-18,"Use row 9 as the 2024-H1 Notes taxonomy header; apply this rule only to the Notes product-reference table."
