question_id,business_question,period,scope,measure,numerator,denominator,value,unit,source_file,interpretation,caveat
Q1,How large is the current review workload?,2025-H2,All firm-product observations,Priority review observations,29,578,5.0173,percent,data/processed/warnings/firm_product_warning_summary.csv,Highest-priority analytical queue,Prioritisation is not a finding of harm
Q1,How large is the current review workload?,2025-H2,All firm-product observations,Review observations,111,578,19.2042,percent,data/processed/warnings/firm_product_warning_summary.csv,Standard analytical review queue,Prioritisation is not a finding of harm
Q1,How large is the current review workload?,2025-H2,All firm-product observations,Priority or review observations,140,578,24.2215,percent,data/processed/warnings/firm_product_warning_summary.csv,Combined analytical review workload,Categories have different urgency
Q1,How large is the current review workload?,2025-H2,All firm-product observations,Insufficient-data observations,74,578,12.8028,percent,data/processed/warnings/firm_product_warning_summary.csv,Separate data-remediation workload,Insufficient data is not low risk
Q2,Which products should receive review capacity?,2025-H2,Insurance and pure protection,Priority review observations,13,163,7.9755,percent,data/processed/warnings/firm_product_warning_summary.csv,Largest absolute priority workload,Compare counts and rates together
Q2,Which products should receive review capacity?,2025-H2,Insurance and pure protection,Priority or review observations,53,163,32.5153,percent,data/processed/warnings/firm_product_warning_summary.csv,Largest absolute combined review workload,Prioritisation does not measure severity
Q2,Which products should receive review capacity?,2025-H2,Decumulation and pensions,Priority review observations,5,63,7.9365,percent,data/processed/warnings/firm_product_warning_summary.csv,Priority rate is similar to insurance,Small denominator
Q2,Which products should receive review capacity?,2025-H2,Decumulation and pensions,Priority or review observations,20,63,31.7460,percent,data/processed/warnings/firm_product_warning_summary.csv,High combined review rate,Small denominator
Q3,Which cases merit longitudinal review?,2025-H2,Current priority observations,Priority in at least five reporting periods,8,29,27.5862,percent,data/processed/warnings/firm_product_warning_summary.csv,Candidates for longitudinal investigation,Periods are not necessarily consecutive
Q4,Which signals explain priority selection?,2025-H2,Current priority observations,UPHELD_PEER_HIGH triggers,19,29,65.5172,percent,data/processed/warnings/warning_indicators.csv,Most common triggered rule in priority cases,Rules overlap and do not establish cause
Q4,Which signals explain priority selection?,2025-H2,Current priority observations,CTX_PROVISION_PEER_HIGH triggers,16,29,55.1724,percent,data/processed/warnings/warning_indicators.csv,Common context-rate rule,Rules overlap and denominators differ
Q4,Which signals explain priority selection?,2025-H2,Current priority observations,OVER_8_WEEKS_HIGH triggers,15,29,51.7241,percent,data/processed/warnings/warning_indicators.csv,Common timeliness rule,Rules overlap and do not measure severity
Q5,Where is evidence incomplete or non-comparable?,2025-H2,Home finance,Insufficient-data observations,17,65,26.1538,percent,data/processed/warnings/firm_product_warning_summary.csv,Highest product-level insufficient-data rate,Requires data remediation rather than risk inference
Q5,Where is evidence incomplete or non-comparable?,2025-H2,Consumer Credit,Change in complaints opened,2048974,1756172,116.6727,percent,data/processed/reporting/dashboard_product_period_context.csv,Large increase requiring comparability investigation,Could reflect population reporting or definition changes
Q5,Where is evidence incomplete or non-comparable?,2025-H2,All product groups,Change in complaints opened,1961190,3496394,56.0918,percent,data/processed/reporting/dashboard_product_period_context.csv,Overall aggregate increase,Result is dominated by Consumer Credit
Q5,Where is evidence incomplete or non-comparable?,2025-H2,All groups excluding Consumer Credit,Change in complaints opened,-87784,1740222,-5.0444,percent,data/processed/reporting/dashboard_product_period_context.csv,Other five product groups declined in aggregate,Aggregate movement does not identify causes
Q6,Can external context explain complaint movement?,2025-H2,UK economic context,Change in Bank Rate,-0.5,, -0.5,percentage_points,data/processed/reporting/dashboard_economic_context.csv,Describes the reporting environment,No causal inference
Q6,Can external context explain complaint movement?,2025-H2,UK economic context,CPI annual rate,3.4,,3.4,percent,data/processed/reporting/dashboard_economic_context.csv,Describes the reporting environment,No causal inference
Q6,Can external context explain complaint movement?,2025-H2,UK economic context,CPIH annual rate,3.6,,3.6,percent,data/processed/reporting/dashboard_economic_context.csv,Describes the reporting environment,No causal inference
Q6,Can external context explain complaint movement?,Current project,FOS corroboration,FOS firm-outcome observations ingested,0,,0,count,data/mappings/fca_fos_product_mapping.csv,No FOS outcome corroboration is currently possible,Mapping alone is not an outcome dataset
