firm_key,reporting_period,source_reporting_period,product_group,review_outcome,reviewer,reviewed_at,review_comment
FRN:120820,2025-H2,2025-07-01 to 2025-12-31,decumulation_and_pensions,coherent_priority_case,Codex,2026-07-20,"Independent context-rate, upheld-outcome and timeliness signals trigger; context and timeliness are persistent. Source-window comparison is available. Appropriate for investigation, not a misconduct conclusion."
FRN:122287,2025-H2,2025-07-01 to 2025-12-31,decumulation_and_pensions,coherent_priority_case,Codex,2026-07-20,"Timeliness and upheld-outcome signals combine with material provision-rate and upheld deterioration. Opened volume is small, so denominator context should be checked during investigation."
FRN:165548,2025-H2,2025-07-01 to 2025-12-31,investments,coherent_priority_case,Codex,2026-07-20,"Persistent adverse peer positions occur across context rate, upheld outcome and timeliness. Current changes improved, but the elevated levels remain a coherent investigation signal."
FRN:766672,2025-H2,2025-04-01 to 2025-09-30,insurance_and_pure_protection,coherent_priority_case,Codex,2026-07-20,"Provision and intermediation context rates are both elevated and timeliness is adverse, with persistence. Current rates improved, so investigate sustained level rather than current deterioration."
FRN:309611,2025-H2,2025-07-01 to 2025-12-31,insurance_and_pure_protection,useful_monitoring_case,Codex,2026-07-20,"High provision and intermediation context rates are persistent and intermediation deteriorated, but outcome and timeliness signals are not adverse. Score is concentrated in one theme; monitor and obtain denominator context."
FRN:307858,2025-H2,2025-07-01 to 2025-12-31,insurance_and_pure_protection,useful_monitoring_case,Codex,2026-07-20,Intermediation context rate is elevated and increased 32.2%. Evidence is concentrated in one metric family; useful for monitoring rather than priority escalation.
FRN:122702,2025-H2,2025-07-01 to 2025-12-31,home_finance,likely_false_positive,Codex,2026-07-20,The 100% upheld rate and large percentage-point change are based on one opened complaint. Low volume makes the percentage unstable; other eligible context and volume measures are not adverse.
FRN:230920,2025-H2,2025-07-01 to 2025-12-31,insurance_and_pure_protection,useful_monitoring_case,Codex,2026-07-20,Provision context rate increased 43.3% and about 13.2% were derived as beyond eight weeks. Independent deterioration and timeliness themes justify monitoring.
FRN:150892,2025-H2,2025-07-01 to 2025-12-31,insurance_and_pure_protection,likely_false_positive,Codex,2026-07-20,"The 100% upheld rate and change are based on one opened complaint. Timeliness is complete and no context rate is available, so the review score is denominator-driven."
FRN:119223,2025-H2,2025-07-01 to 2025-12-31,investments,useful_monitoring_case,Codex,2026-07-20,Upheld percentage is elevated at 86.19% and increased 7.88 percentage points across substantial complaint volume. The evidence is one outcome theme but is suitable for monitoring.
FRN:313250,2025-H2,2025-07-01 to 2025-12-31,insurance_and_pure_protection,useful_monitoring_case,Codex,2026-07-20,"Upheld percentage increased just over five percentage points to 65.42%. Other available measures are not adverse, supporting monitoring rather than escalation."
FRN:312578,2025-H2,2025-07-01 to 2025-12-31,consumer_credit,useful_monitoring_case,Codex,2026-07-20,"Opened consumer-credit complaints increased 52.6%, are high relative to peers and the signal is persistent. This indicates operational volume pressure, not conduct harm by itself."
FRN:490568,2025-H2,2025-07-01 to 2025-12-31,consumer_credit,likely_false_positive,Codex,2026-07-20,Upheld deterioration is calculated from only nine opened complaints and no supporting context or timeliness metrics are available. Small volume makes the percentage unstable.
FRN:110394,2025-H2,2025-07-01 to 2025-12-31,insurance_and_pure_protection,useful_monitoring_case,Codex,2026-07-20,"Upheld percentage increased 5.09 percentage points. Complaint volume and context rate did not deteriorate, so retain as a limited monitoring signal."
FRN:124750,2025-H2,2025-02-01 to 2025-07-31,insurance_and_pure_protection,likely_false_positive,Codex,2026-07-20,Upheld percentage rose sharply but is based on five opened complaints; the opened-count peer percentile is low and timely closure is complete. The signal is small-denominator driven.
FRN:804906,2025-H2,2025-01-01 to 2025-12-31,consumer_credit,no_material_signal_confirmed,Codex,2026-07-20,Opened complaints increased 51.6% but remain around the 64th peer percentile; upheld percentage is low relative to peers. The dual-threshold rules appropriately avoid escalation.
FRN:708400,2025-H2,2025-04-01 to 2025-09-30,consumer_credit,no_material_signal_confirmed,Codex,2026-07-20,Opened growth remains below the configured 25% threshold and upheld change is small. Available consumer-credit measures provide no material current signal.
FRN:311873,2025-H2,2025-07-01 to 2025-12-31,insurance_and_pure_protection,no_material_signal_confirmed,Codex,2026-07-20,"Complaint volume, upheld percentage and both context rates declined, with 99.87% closed within eight weeks. Broad available evidence supports no current configured signal."
FRN:307864,2025-H2,2025-02-01 to 2025-07-31,consumer_credit,potential_false_negative,Codex,2026-07-20,"Opened complaints increased about 219% to 12,736, but the 80th peer percentile is below the configured 90th-percentile gate. Outcome levels are not adverse; retain for monitoring and review the dual threshold."
FRN:211468,2025-H2,2025-04-01 to 2025-09-30,decumulation_and_pensions,no_material_signal_confirmed,Codex,2026-07-20,"Opened complaints, upheld percentage and provision context rate all declined, while 99.81% were closed within eight weeks. Available evidence supports no current signal."
FRN:309268,2025-H2,2025-07-01 to 2025-12-31,consumer_credit,insufficient_context,Codex,2026-07-20,"Only the upheld peer rule is eligible and the 100% upheld rate is based on one opened complaint. Trend, context and timeliness evidence are unavailable."
FRN:204550,2025-H2,2025-07-01 to 2025-12-31,home_finance,insufficient_context,Codex,2026-07-20,"Only a 100% upheld percentage is available for this product observation; complaint volume, trend, context and timeliness evidence are missing."
FRN:529810,2025-H2,2025-07-01 to 2025-12-31,investments,insufficient_context,Codex,2026-07-20,"Timeliness triggers with about 13.7% beyond eight weeks, but only two rules are eligible and no trend evidence is available. More reporting context is required."
FRN:958057,2025-H2,2025-07-01 to 2025-12-31,insurance_and_pure_protection,insufficient_context,Codex,2026-07-20,"No warning rule is eligible; the observation contains zero opened complaints and lacks outcome, timeliness and context evidence. No risk interpretation is possible."
FRN:194734,2025-H2,2025-07-01 to 2025-12-31,banking_and_credit_cards,insufficient_context,Codex,2026-07-20,"No warning rule is eligible; the observation contains zero opened complaints and lacks outcome, timeliness and context evidence. No risk interpretation is possible."
